adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,,[18],1222306,hi,Train from Chhapraula,,0.6,,,Train from Chhapraula,False,0.0,0
False,,"[35, 10749]",1214835,hi,De De Pyaar De 2,A sequel to De De Pyaar De.,0.626,,,De De Pyaar De 2,False,0.0,0
False,,[10749],1202167,hi,Nakhrewaalii,Upcoming Hindi film.,0.6,,,Nakhrewaalii,False,0.0,0
False,,[99],1201276,hi,Dhammapada,"All the gist of Buddhism, the very words of Buddha loaded on to a visual circus where every image has an act for itself. The director is an old student in Vippassana, the Buddhist meditation technique that Buddha taught for forty five years of his life, twenty five centuries ago, and the director brought on to the screen, his visions and hallucinations during deep meditative trance, to remind himself and those intent on attaining Nirvana, and to inspire the future monks / spiritual aspirants to discover themselves.",0.6,,,Dhammapada,False,0.0,0
False,/24IoNCFWAcOTkil5WFYIGy3MGC2.jpg,"[35, 80, 18]",1200611,hi,पतंग,"Rajan, a wealthy Basantpur man, accidentally causes Shanti's vision loss with face afire. He becomes an eye surgeon, but his friend Ramdas is arrested and sentenced to prison.",0.6,/xq0iK0x8DNm9i9RBc2X7tSgJqjn.jpg,1960-01-01,Patang,False,6.0,1
False,,[],1200128,hi,D-Grade Se A-Grade Tak,"Humiliated for a crime he didn't commit, Bhushan Paswan, a railway trolleyman chooses to retaliate.",0.6,/bRFpkkh8A0NK7Mj8Td3IhqlevTt.jpg,2023-10-29,The Blessed and the Damned,False,0.0,0
False,,[],1196185,hi,Pushtaini,"A Bollywood actor involved in a scandal flees to his birth village in the Himalayan foothills and by happenstance picks up a determined young woman along the way. Once at home he is unpleasantly surprised, and must, against his will, deal with a disputed inheritance. His new friend becomes an ally.",0.6,/70K1fbeGsQ1ujdiKw4FsWSbZbR6.jpg,,Ancestral,False,0.0,0
False,/7S3LjORFRTbkqBoqpHicrzHb131.jpg,[99],1193372,hi,Jam Invalid,"Ambika has just come to know that she has failed once again, and she will not be given any more chances. At first, she leaves the city for her home in another city. But very soon the city takes over and her confusions return even more intensely this time.",0.6,/t3zsLJxiZxaqghEJwYqyIGJ2rtd.jpg,1997-01-01,Jam Invalid,False,0.0,0
False,,[27],1181296,hi,One Night at Villa,Four architects on a recce trip to Goa find out that the voluptuous lady inviting them to her villa for a night is a witch who feeds on youth. Will they survive the night?,0.887,/5qcOrLl1wgd6incZvfZWE5r9yxu.jpg,2019-10-25,One Night at Villa,False,0.0,0
False,,[],1169053,hi,'Pratikshya' Hindi Remake,Son learns about the Government's scheme of compassionate appointment where a family member gets the job of the deceased government employee. A frustrated Son waits for his father's death only to realise his disturbing mind.,0.6,,,'Pratikshya' Hindi Remake,False,0.0,0
False,/4GdfksrUIciuxypKRKjPvZKX8bz.jpg,"[18, 80]",1163960,hi,Blue Dogs,"The story of ‘blue dogs’ is about two watchful, loyal dogs of some supposed huge mobster, with his work in and around Mumbai. As the story unfolds, their lives of crime gets inexplicably tangled with bigotry, paranoia and delusions.",0.998,/nUZxNAdI4eAgUzySwffR01YjID6.jpg,2023-08-12,Blue Dogs,False,10.0,1
False,,[18],1163683,hi,Piya Milan,"Piya Milan is a Romantic Drama Film focusing on the life of a Young Girl in search of true love, and she marries a smart man, living happily and fighting against facing problems from society.",0.6,,1985-01-01,Piya Milan,False,0.0,0
False,,[],1154585,hi,Jaan Lada Denge,"Abdul, a principled man, partners with traitor Babbur in Basti. A robbery gone wrong leads to a split over shares. As crimes escalate, mysterious ""Mr. X"" emerges. When Babbur kills an inspector, officer Jayant steps in. A battle of truth and principles ensues.",0.626,/bQ9ifbyVzcTMa2cZyPWvzGeWkqz.jpg,1990-01-05,Jaan Lada Denge,False,0.0,0
False,,[],1153193,hi,फर्ज,The film revolves around a small-town boy who is compelled by his parents to pursue a government job after completing his studies.,0.626,,,Farz,False,0.0,0
False,,[36],1149398,hi,Untitled Anupam Kher movie as Rabindranath Tagore,"Rabindranath Tagore was the first Indian to win Nobel Prize in Literature in 1913, he wrote the national anthems of India and Bangladesh and created many other songs. He is known by many names, including Gurudev, Kabiguru, and Biswakabi, and is commonly referred to as 'the Bard of Bengal.'",0.6,,,Untitled Anupam Kher movie as Rabindranath Tagore,False,0.0,0
False,,[18],1147759,hi,Rimdogittanga,"As the village is gripped by the fear of child-kidnapper, the church prophesizes about the coming of apocalyptic darkness that will last for 80 days. For Kasan (male, 10), the village has never been more fearful.",0.6,/3zsnLxAAWUXcKakFJYroQHlsvjN.jpg,2023-08-10,Rapture,False,0.0,0
False,,"[28, 18]",1138993,hi,Dilwala,"Dilwala - Superhit Full Bhojpuri Movie - Khesari Lal, Akshara Singh | Bhojpuri Full Film",0.883,,2017-08-18,Dilwala,False,0.0,0
False,,[18],1137590,hi,Dulhan Wahi Jo Piya Man Bhaye,What is the English language plot outline for Dulhan Wahi Jo Piya Man Bhaye (2021)?,1.142,,2021-01-14,Dulhan Wahi Jo Piya Man Bhaye,False,0.0,0
